breadcrumbs,image_url,brand,product_name,listing_price,offer_price,discount,product_id,available_sizes,description,other_images
,,Tom Ford,Suede driving shoes,,,20% off,p00991981,,,
,,Valentino Garavani,VLogo leather espadrilles,,,30% off,p00996277,,,
,,Tom Ford,Rod suede driving shoes,,,20% off,p00991980,,,
,,Valentino Garavani,Valet Du Roi leather flats,,,20% off,p01014162,,,
,,Valentino Garavani,VLogo leather loafers,,,30% off,p01014171,,,
,,Lemaire,Linoleum leather slip-on sneakers,,,30% off,p01013321,,,
,,Tom Ford,Logo suede sandals,,,20% off,p00991977,,,
,,Lemaire,Linoleum canvas espadrilles,,,40% off,p01013316,,,
,,Lemaire,Linoleum leather slip-on sneakers,,,40% off,p01013311,,,
,,Lemaire,Leather sandals,,,40% off,p01013314,,,
,,Valentino Garavani,Valet Du Roi leather flats,,,30% off,p01014169,,,
,,Valentino Garavani,Royco VLogo leather sneakers,,,30% off,p01014172,,,
,,Tom Ford,Gigi croc-effect leather loafers,,,20% off,p00991985,,,
,,Lemaire,Linoleum canvas espadrilles,,,40% off,p01013318,,,
,,Tom Ford,Cambridge logo suede sneakers,,,20% off,p00991976,,,
,,Tom Ford,Brighton TF suede thong sandals,,,20% off,p00983726,,,
,,Lemaire,Linoleum leather sneakers,,,30% off,p01013324,,,
,,Lemaire,Linoleum leather sneakers,,,30% off,p01013322,,,
,,Tom Ford,Patent leather Chelsea boots,,,20% off,p00991982,,,
,,Tom Ford,Harris suede slides,,,20% off,p00983736,,,
,,Valentino Garavani,VLogo zebra-print calf hair loafers,,,30% off,p00996263,,,
,,Loewe,Rise suede slippers,,,30% off,p01006701,,,
,,Loewe,Ease Buckle leather mules,,,30% off,p01006704,,,
,,Tom Ford,Harris suede slides,,,20% off,p00983735,,,
,,Loewe,Flow Runner 2.0 suede-trimmed sneakers,,,20% off,p01006714,,,
,,Tom Ford,Preston T leather sandals,,,20% off,p00983737,,,
,,Loewe,Flow Runner 2.0 suede-trimmed sneakers,,,20% off,p01006717,,,
,,Loewe,Campo leather penny loafers,,,30% off,p01006697,,,
,,Manolo Blahnik,Seaton suede sandals,,,30% off,p01000553,,,
,,Manolo Blahnik,Seaton suede sandals,,,30% off,p01000551,,,
,,Brunello Cucinelli,Suede sneakers,,,30% off,p01006966,,,
,,Valentino Garavani,VLogo leather loafers,,,30% off,p00996262,,,
,,The Row,Hereditas leather loafers,,,50% off,p00983981,,,
,,Tom Ford,Robin suede boat shoes,,,20% off,p00983728,,,
,,Valentino Garavani,Upvillage suede sneakers,,,30% off,p00996295,,,
,,Tom Ford,Barnes suede espadrilles,,,20% off,p00983723,,,
,,Valentino Garavani,Studded leather fisherman sandals,,,30% off,p00996292,,,
,,Tom Ford,Cambridge leather-trimmed suede sneakers,,,20% off,p00983742,,,
,,Tom Ford,Warwick suede sneakers,,,20% off,p00983746,,,
,,Valentino Garavani,Viva Superstar VLogo slides,,,30% off,p00996284,,,
,,Valentino Garavani,Nojoke canvas sneakers,,,30% off,p00996325,,,
,,Tom Ford,Barnes suede espadrilles,,,20% off,p00983722,,,
,,Tom Ford,Barnes suede espadrilles,,,20% off,p00983724,,,
,,Valentino Garavani,Nojoke canvas sneakers,,,30% off,p00996323,,,
,,Tom Ford,Jago leather-trimmed sneakers,,,20% off,p00983743,,,
